Model	Day	Contrast	Group1	Group2	Pathway	N_Group1	N_Group2	Mean_Group1	Mean_Group2	Median_Group1	Median_Group2	Delta_mean	Delta_median	Rank_biserial	P_value	FDR	Absolute_effect_size	Absolute_delta_median	Direction	Significant_FDR_0_05
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INTERFERON_ALPHA_RESPONSE	3	3	0.545376894131735	0.813046907584735	0.540705831972612	0.811206571386785	0.267670013452999	0.270500739414173	1	0.0808555983700523	0.126336872453207	1	0.270500739414173	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_INTERFERON_GAMMA_RESPONSE	3	3	0.500262815125614	0.661699103043365	0.495419319525162	0.659617307934743	0.161436287917752	0.164197988409581	1	0.0808555983700523	0.126336872453207	1	0.164197988409581	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_E2F_TARGETS	3	3	0.636427997595909	0.761317612555834	0.631730287339265	0.754950316000347	0.124889614959924	0.123220028661082	1	0.0808555983700523	0.126336872453207	1	0.123220028661082	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_G2M_CHECKPOINT	3	3	0.672238785753047	0.774520406903797	0.670241479024135	0.774615019473727	0.102281621150751	0.104373540449592	1	0.0808555983700523	0.126336872453207	1	0.104373540449592	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_MYC_TARGETS_V2	3	3	0.676442041534532	0.741990951851942	0.673909834737176	0.733950919328212	0.06554891031741	0.0600410845910351	1	0.0808555983700523	0.126336872453207	1	0.0600410845910351	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_IL6_JAK_STAT3_SIGNALING	3	3	0.522418748756952	0.583412242885804	0.524955664527352	0.582358684000138	0.0609934941288517	0.0574030194727861	1	0.0808555983700523	0.126336872453207	1	0.0574030194727861	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_TGF_BETA_SIGNALING	3	3	0.77175532990808	0.719226609331416	0.77600475904215	0.722975969825293	-0.0525287205766645	-0.0530287892168565	-1	0.0808555983700523	0.126336872453207	1	0.0530287892168565	Higher_in_Control	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_PANCREAS_BETA_CELLS	3	3	0.279520597615637	0.327388013849741	0.27552044334835	0.323965347565765	0.0478674162341042	0.0484449042174146	1	0.0808555983700523	0.126336872453207	1	0.0484449042174146	Higher_in_Lineage_5	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_NOTCH_SIGNALING	3	3	0.651829190184504	0.604021853303628	0.654752730365574	0.609459027832685	-0.047807336880876	-0.045293702532889	-1	0.0808555983700523	0.126336872453207	1	0.045293702532889	Higher_in_Control	FALSE
THP-1	Day1	Lineage_5_vs_Control	Control	Lineage_5	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	3	3	0.770467556867817	0.817207325315484	0.768638318185965	0.812532957691284	0.0467397684476674	0.0438946395053186	1	0.0808555983700523	0.126336872453207	1	0.0438946395053186	Higher_in_Lineage_5	FALSE
